"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden_dim","latent_dim","learning_rate","n_components","test_size","training_size","epoch","explained_variance_ratio","min_overall_loss","min_test_loss","min_test_recon_loss","min_train_loss","min_train_recon_loss","n_model_params","name","overall_loss","test_loss","test_recon_loss","train_loss","train_recon_loss","unexplained_variance_ratio"
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_50","running","-","dhjayalath","","2023-03-01T07:35:13.000Z","26","","10","500","200","68","50","0.001","","","","35","","","0.06667368029356002","","5.439179091644287","","13836","","","5.439179091644287","","0.06671875665187836","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_40","finished","-","dhjayalath","","2023-03-01T07:32:52.000Z","139","","10","500","200","68","40","0.001","","","","199","","","0.03739351178705693","","4.009940458106994","","12466","","","4.042151324272155","","0.04470192730426789","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_150","running","-","ygideoni","","2023-03-01T07:31:39.000Z","240","","10","500","200","184","150","0.001","","","","160","","","0.01187195509299636","","1.475627859783173","","74168","","","1.7128669554710387","","0.017868011825531722","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_30","finished","-","dhjayalath","","2023-03-01T07:30:31.000Z","139","","10","500","200","68","30","0.001","","","","199","","","0.048814453101158145","","5.092388282775879","","11096","","","5.106323461532593","","0.05314233230948448","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_2","finished","-","ygideoni","","2023-03-01T07:29:10.000Z","147","","10","500","200","184","2","0.001","","","","199","","","6.661294952392578","","9.65806053314209","","19556","","","10.731223347473144","","6.664113247680664","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_25","finished","-","dhjayalath","","2023-03-01T07:28:09.000Z","139","","10","500","200","68","25","0.001","","","","199","","","0.06216489980220795","","5.937969758605957","","10411","","","5.959010386657715","","0.06691192945837975","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_22","finished","-","dhjayalath","","2023-03-01T07:25:48.000Z","139","","10","500","200","68","22","0.001","","","","199","","","0.06879041714668274","","6.287182138442994","","10000","","","6.2961333457946775","","0.07269502750635147","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_21","finished","-","dhjayalath","","2023-03-01T07:23:28.000Z","138","","10","500","200","68","21","0.001","","","","199","","","0.06944657480716705","","6.287416286849975","","9863","","","6.295921433639526","","0.07259691053628922","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_20","finished","-","dhjayalath","","2023-03-01T07:21:09.000Z","137","","10","500","200","68","20","0.001","","","","199","","","0.1762880317568779","","6.447668866729736","","9726","","","6.466691019058228","","0.18266403526067737","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_19","finished","-","dhjayalath","","2023-03-01T07:18:47.000Z","139","","10","500","200","68","19","0.001","","","","199","","","0.29277202343940734","","6.574798359298706","","9589","","","6.5835581993103025","","0.29376013369560244","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_18","finished","-","dhjayalath","","2023-03-01T07:16:25.000Z","139","","10","500","200","68","18","0.001","","","","199","","","0.3082490882396698","","6.579862260818482","","9452","","","6.579862260818482","","0.31111027278900144","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_17","finished","-","dhjayalath","","2023-03-01T07:14:06.000Z","137","","10","500","200","68","17","0.001","","","","199","","","0.4336374865531921","","6.755556491851807","","9315","","","6.768564276504517","","0.4336901184558869","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_14","finished","-","dhjayalath","","2023-03-01T07:11:44.000Z","139","","10","500","200","68","14","0.001","","","","199","","","1.0337131021499637","","7.326744771575927","","8904","","","7.341056610107421","","1.0337131021499637","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_11","finished","-","dhjayalath","","2023-03-01T07:09:23.000Z","139","","10","500","200","68","11","0.001","","","","199","","","1.8167021306991575","","7.803032405853272","","8493","","","7.94571028213501","","1.8195209199905396","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_8","finished","-","dhjayalath","","2023-03-01T07:07:01.000Z","139","","10","500","200","68","8","0.001","","","","199","","","2.9128072788238524","","8.56153833580017","","8082","","","8.786283353805542","","2.9128072788238524","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid68_latent_5","finished","-","dhjayalath","","2023-03-01T07:04:40.000Z","139","","10","500","200","68","5","0.001","","","","199","","","4.725149639892578","","9.03387320022583","","7671","","","9.626163899993896","","4.725149639892578","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_60","finished","-","dhjayalath","","2023-03-01T07:02:20.000Z","137","","10","500","200","60","60","0.001","","","","199","","","0.03727414058744907","","3.7997877607345583","","13430","","","3.823383799171448","","0.04413903481960297","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_250","finished","-","dhjayalath","","2023-03-01T06:59:56.000Z","142","","10","500","200","60","250","0.001","","","","199","","","0.0373551311224699","","3.989114071083069","","36420","","","4.018006740570068","","0.042946762442588805","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_150","finished","-","dhjayalath","","2023-03-01T06:57:35.000Z","139","","10","500","200","60","150","0.001","","","","199","","","0.03902698245048523","","3.7436076250076296","","24320","","","3.921334263038635","","0.042345895183086395","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_2","finished","-","dhjayalath","","2023-03-01T06:55:13.000Z","139","","10","500","200","60","2","0.001","","","","199","","","6.722998020935059","","9.736529329681396","","6412","","","10.551274338531494","","6.74521669998169","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_5000","finished","-","dhjayalath","","2023-03-01T06:52:43.000Z","147","","10","500","200","60","5000","0.001","","","","199","","","0.037880421644449234","","3.8553831262588503","","611170","","","3.9706803972244265","","0.04009394625425339","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_3000","finished","-","dhjayalath","","2023-03-01T06:50:22.000Z","138","","10","500","200","60","3000","0.001","","","","199","","","0.03467785255908966","","3.994891997528076","","369170","","","4.3008527139663695","","0.03568944286108017","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_2000","finished","-","dhjayalath","","2023-03-01T06:48:00.000Z","139","","10","500","200","60","2000","0.001","","","","199","","","0.04327614495754242","","4.0296210218429565","","248170","","","4.136189381408691","","0.048672487843036655","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_1500","finished","-","dhjayalath","","2023-03-01T06:45:37.000Z","141","","10","500","200","60","1500","0.001","","","","199","","","0.03449812762737274","","3.85965396938324","","187670","","","4.607309203910828","","0.037657142025232314","",""
