"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_dim","data_latent_dim","dataset_size","dataset_sizes","epochs","hidden_dim","latent_dim","learning_rate","test_size","n_params","test_loss","train_loss"
"lin-ae-extra_exps-dsize-380615","failed","-","ygideoni","","2023-05-21T07:39:01.000Z","5037","","20","25","10","380615","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010706044301390648","0.010332785546779633"
"lin-ae-extra_exps-dsize-329316","finished","-","ygideoni","","2023-05-20T19:25:14.000Z","44025","","20","25","10","329316","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.011063592433929443","0.010264862328767776"
"lin-ae-extra_exps-dsize-284931","finished","-","ygideoni","","2023-05-20T08:33:13.000Z","39119","","20","25","10","284931","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.01047197537124157","0.010321681387722492"
"lin-ae-extra_exps-dsize-246528","finished","-","ygideoni","","2023-05-19T23:24:14.000Z","32937","","20","25","10","246528","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010764684945344926","0.010288533754646778"
"lin-ae-extra_exps-dsize-213301","finished","-","ygideoni","","2023-05-19T15:18:34.000Z","29137","","20","25","10","213301","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010576605185866356","0.01027403585612774"
"lin-ae-extra_exps-dsize-184552","finished","-","ygideoni","","2023-05-19T08:18:14.000Z","25217","","20","25","10","184552","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010244319692254068","0.01033974066376686"
"lin-ae-extra_exps-dsize-159678","finished","-","ygideoni","","2023-05-19T02:28:10.000Z","21001","","20","25","10","159678","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010942461341619492","0.010261607356369495"
"lin-ae-extra_exps-dsize-138157","finished","-","ygideoni","","2023-05-18T21:21:48.000Z","18380","","20","25","10","138157","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010527224197983742","0.010268621146678925"
"lin-ae-extra_exps-dsize-119536","finished","-","ygideoni","","2023-05-18T16:53:21.000Z","16104","","20","25","10","119536","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.009959034368395804","0.010237517766654491"
"lin-ae-extra_exps-dsize-103425","finished","-","ygideoni","","2023-05-18T13:00:36.000Z","13962","","20","25","10","103425","[     11      13      15      17      20      23      26      31      36
      41      48      55      64      74      85      99     114     132
     153     177     204     236     273     316     365     422     487
     563     651     753     870    1006    1162    1344    1553    1795
    2075    2398    2771    3203    3702    4279    4946    5716    6607
    7636    8826   10201   11790   13626   15749   18203   21038   24316
   28103   32481   37541   43389   50148   57960   66989   77424   89485
  103425  119536  138157  159678  184552  213301  246528  284931  329316
  380615  439905  508432  587633  679172  784970  907249 1048576]","1000","100","20","0.001","1000","29445","0.010232746228575706","0.010232319124042988"
